index,case-name,Porosity,Eff. Porosity,K(x)[D],K(y)[D],K(z)[D],M. time[s],S. Time[s],Res.
185,186.0,0.21372800000000003,0.20954575399999997,1.2453,2.3898,3.355,216.0,74.0,3e-06
186,187.0,0.224817481,0.222111445,1.776,1.8974,3.6082,270.0,65.0,3e-06
187,188.0,0.226908148,0.224822088,2.5106,2.6402,4.3074,294.0,80.0,3e-06
188,189.0,0.194638222,0.190873559,2.2537,1.1601,3.9534,269.0,72.0,3e-06
189,190.0,0.126778074,0.10021830400000001,0.5318133279999999,0.254652659,0.0,276.0,50.0,3e-06
190,191.0,0.127603259,0.083212354,0.5346,0.1922,0.2797,167.0,36.0,3e-06
191,192.0,0.16879466699999998,0.16211679,2.6323,0.2394,1.5744,225.0,64.0,3e-06
192,193.0,0.24644474100000002,0.244906145,4.1925,2.0605,2.8904,253.0,65.0,3e-06
193,194.0,0.277232593,0.277387948,7.3151,4.8186,6.7229,261.0,68.0,3e-06
194,195.0,0.239737185,0.236033018,2.8795,3.6675,10.7542,209.0,57.0,3e-06
196,197.0,0.15897540699999999,0.157295631,0.8879,1.3965,1.5585,177.0,48.0,3e-06
198,199.0,0.200363259,0.19714017,0.8656,4.4681,3.8178,188.0,56.0,3e-06
200,201.0,0.159907556,0.158266357,1.2296,2.2022,3.6010000000000004,153.0,46.0,3e-06
201,202.0,0.188753778,0.187891965,1.3498,2.6209,3.6022,165.0,53.0,3e-06
202,203.0,0.20222874100000002,0.200377042,1.4796,1.8534,1.4783,175.0,55.0,3e-06
203,204.0,0.20545363,0.204292415,1.4595,1.3039,2.2239,185.0,61.0,3e-06
204,205.0,0.207641778,0.20672874600000002,1.6718,1.288,2.1917,196.0,64.0,3e-06
205,206.0,0.193437037,0.191872276,1.4338,0.6788,1.7708,211.0,65.0,3e-06
206,207.0,0.160228741,0.157232931,1.3382,0.2135,0.9243,194.0,53.0,3e-06
207,208.0,0.092629926,0.043351244000000004,0.169713675,0.135376639,0.0,206.0,25.0,3e-06
208,209.0,0.088909037,0.075182985,0.537,0.1894,0.0825,100.0,26.0,3e-06
209,210.0,0.156282667,0.150712163,2.8694,0.2418,1.3761,156.0,44.0,3e-06
210,211.0,0.22823111100000001,0.22701321800000002,4.4165,1.849,2.6127,196.0,63.0,3e-06
211,212.0,0.271054519,0.27132847,7.4032,7.4665,5.2374,205.0,69.0,3e-06
212,213.0,0.213929481,0.21281285600000002,2.3958,3.5022,2.7644,155.0,52.0,3e-06
213,214.0,0.187803556,0.181412623,0.365,2.4588,2.2514,152.0,49.0,3e-06
215,216.0,0.191923852,0.190657469,0.9744,2.3116,4.8271,171.0,54.0,3e-06
217,218.0,0.177377185,0.17672022199999998,0.8992524709999999,1.184299158,2.506850065,331.0,74.0,3e-06
220,221.0,0.20179555600000001,0.200926784,2.2573,1.7864,1.4338,185.0,58.0,3e-06
223,224.0,0.171721481,0.167278319,1.0562,0.5984,1.0959999999999999,187.0,56.0,3e-06
226,227.0,0.080438815,0.077904376,0.2989,0.1051,0.0846,94.0,31.0,3e-06
963,973.0,0.24138785199999999,0.24037879899999998,4.1831,5.1589,4.6369,186.0,56.0,3e-06
965,975.0,0.266034963,0.26620388899999997,2.6509,7.6154,7.0520000000000005,343.0,88.0,3e-06
966,976.0,0.259965333,0.25902701300000003,3.2937,5.3034,5.1883,384.0,91.0,3e-06
967,977.0,0.25214044399999996,0.24839644600000002,4.6525,7.3249,4.7522,199.0,66.0,3e-06
968,978.0,0.22488474100000003,0.221188215,2.1875,4.2935,5.0643,182.0,58.0,3e-06
