case-name,P,EP,KX,KY,KZ,c1,p1,ep1,kx1,ky1,kz1,c2,p2,ep2,kx2,ky2,kz2,c3,p3,ep3,kx3,ky3,kz3,c4,p4,ep4,kx4,ky4,kz4,c5,p5,ep5,kx5,ky5,kz5,c6,p6,ep6,kx6,ky6,kz6,c7,p7,ep7,kx7,ky7,kz7,c8,p8,ep8,kx8,ky8,kz8
43.0,0.211845407,0.21029762,2.631,3.2866,2.3061,49,0.198224296,0.184955156,2.7499,4.0456,2.9730000000000003,52,0.17256859300000002,0.17087683399999998,2.3251,2.3307,1.486,103,0.241890074,0.241658077,2.3591,5.3387,2.5449,106,0.233222222,0.231959777,2.2953,2.6327,3.1552,1021,0.177766222,0.1754064,0.8603,1.3144,0.885,1024,0.203875556,0.201791221,2.2094,4.9517,3.8687,1075,0.211729185,0.210159208,3.0974,3.0492,2.9536,1078,0.255487111,0.254062132,5.4620000000000015,7.3757,6.2829
45.0,0.233522037,0.232240599,5.8043,4.4532,5.792999999999998,51,0.173820444,0.17256300800000002,1.7356,2.0378,1.7936,54,0.23144829600000005,0.231651876,4.8101,4.2983,7.2235,105,0.241946667,0.241158718,3.0003,2.4855,3.1414,108,0.272570074,0.267265305,13.1814,9.2194,17.584,1023,0.193364148,0.190464314,2.0175,3.0872,3.3454,1026,0.223744296,0.223633899,5.8506,4.6212,4.8078,1077,0.232688593,0.23171179600000005,2.2355,3.2717,3.2166,1080,0.29859377800000003,0.298958884,8.6903,10.4388,7.9127
47.0,0.210662481,0.208204052,2.9139,3.0857,4.0991,56,0.172270222,0.170046063,2.0039,1.8742,2.7034,59,0.197544889,0.193181132,1.4652,1.0448,1.537,110,0.224388444,0.223065376,1.5622,1.545,2.3617,113,0.190236444,0.189167232,1.7509,2.1307,2.0356,1028,0.23851111100000005,0.23510362,4.3311,4.5191,8.6339,1031,0.22183200000000006,0.220817792,4.7715,1.8958,6.0026,1082,0.226753481,0.226617365,4.5634,5.7778,8.7327,1085,0.213763259,0.212535716,1.3848,1.2162,2.2452
53.0,0.207077185,0.205600601,2.3372,3.1508,3.7253,62,0.226721481,0.224869112,4.2367,1.9645,4.7625,65,0.213198519,0.211947376,0.4977,7.0712,2.1912,116,0.202248593,0.200358009,2.5984,3.8552,4.3902,119,0.211559704,0.210536633,4.1960000000000015,4.1358,3.5055,1034,0.209018963,0.209066907,4.2359,1.0054,8.0415,1037,0.189903704,0.18850732,0.5826,1.0508,1.0566,1088,0.219981333,0.218077555,2.1284,1.4879,3.2666,1091,0.183985185,0.182878454,1.4701,1.6959,1.8293
91.0,0.211976074,0.210698045,3.3725,3.5863,3.4387,109,0.208244741,0.204216279,1.848,1.4719,2.2918,112,0.205647704,0.205518418,2.5610000000000004,2.6207,1.1229,163,0.231003259,0.230674433,6.2023,5.2632,2.1298,166,0.228346074,0.223440455,4.6769,4.4702,7.0399,1081,0.211209778,0.20750823,3.5332,8.4434,8.2276,1084,0.218600889,0.215537035,1.9339,1.2167,2.6922,1135,0.211565037,0.211100886,2.7278,2.6887,1.9293,1138,0.181191111,0.178980088,1.0921,1.7444,1.8941
93.0,0.204900667,0.203368477,2.4656,2.6921,3.0653,111,0.188420741,0.187015289,0.7408,1.6524,1.847,114,0.203563556,0.20266782100000005,1.6331,4.3121,3.4468,165,0.220172148,0.21829796,4.6498,3.1402,4.637,168,0.232016296,0.231463777,2.6613,3.0366,5.5452,1083,0.204471407,0.20285116600000005,3.0232,2.5101,2.7906,1086,0.244708741,0.243229493,2.4745,3.4046,3.7832,1137,0.201267259,0.20018903,2.0969,2.3903,2.3541,1140,0.144585185,0.141646592,0.1055,1.3932,0.8098
95.0,0.203997593,0.202559315,2.1204,2.7902,3.3653,113,0.190236444,0.189167232,1.7509,2.1307,2.0356,116,0.202248593,0.200358009,2.5984,3.8552,4.3902,167,0.234573333,0.234628992,6.5926,5.2038,6.9722,170,0.25142311100000003,0.251250011,5.0452,5.5326,6.3861,1085,0.213763259,0.212535716,1.3848,1.2162,2.2452,1088,0.219981333,0.218077555,2.1284,1.4879,3.2666,1139,0.16178163,0.157828048,1.0598,1.3082,0.7823,1142,0.15797303699999998,0.154255475,0.4796,0.6299,0.7062
97.0,0.190024852,0.188041507,1.8991,2.3831,3.2618,115,0.187310815,0.185248501,2.0418,3.0205,4.2068,118,0.201209481,0.19976796,2.9336,4.066,3.4203,169,0.231299852,0.23126896,3.2892,3.2455,4.2745,172,0.165349333,0.158925823,1.3117,0.9417,1.9305,1087,0.239216593,0.238300191,3.2019,4.5141,4.1598,1090,0.174749333,0.171673162,1.0039,1.5356,1.7285,1141,0.131478222,0.123466861,0.0055,0.9221,0.8067,1144,0.189585185,0.187427292,1.7148,1.4387,2.1268
99.0,0.19489855600000006,0.192527922,2.679,2.2516,2.8322,117,0.209803259,0.206875418,2.7223,5.433,4.4049,120,0.215801481,0.215048772,2.2884,1.5485,2.1048,171,0.220375407,0.219345941,3.7378,3.5873,4.3375,174,0.17607822199999998,0.168615166,2.2345,0.9917,2.1007,1089,0.192727407,0.19013963600000006,1.6087,1.1903,1.4166,1092,0.196630815,0.195701558,3.1796,2.1473,3.0179,1143,0.168465185,0.165808876,1.3623,0.7208,1.5347,1146,0.179306667,0.175931909,1.5619999999999998,1.2668,1.8509
101.0,0.205272889,0.202983294,2.9982,2.2467,3.0946,119,0.211559704,0.210536633,4.1960000000000015,4.1358,3.5055,122,0.242352593,0.235701605,2.1721,10.232,1.9749,173,0.150932741,0.138723085,0.3085,0.6808,0.3221,176,0.25890963,0.256854916,5.0081,6.1374,5.8409,1091,0.183985185,0.182878454,1.4701,1.6959,1.8293,1094,0.207782222,0.20685999,6.3552,2.1652,3.6506,1145,0.17007525899999998,0.166467158,1.5496,0.9746,1.4496,1148,0.216585778,0.215707741,3.0902,2.7846,6.2633
