case-name,P,EP,KX,KY,KZ,c1,p1,ep1,kx1,ky1,kz1,c2,p2,ep2,kx2,ky2,kz2,c3,p3,ep3,kx3,ky3,kz3,c4,p4,ep4,kx4,ky4,kz4,c5,p5,ep5,kx5,ky5,kz5,c6,p6,ep6,kx6,ky6,kz6,c7,p7,ep7,kx7,ky7,kz7,c8,p8,ep8,kx8,ky8,kz8
99.0,0.141602963,0.140375764,2.6131,4.066,11.2208,117,0.116869037,0.115229731,0.4824,3.2378,2.9205,120,0.191636444,0.190862363,0.0418,12.5721,27.7998,171,0.159387852,0.159001959,7.2987,6.9404,0.1522,174,0.053396741,0.051778195,1.3321,0.0051,0.34600000000000003,1089,0.128243852,0.126282792,6.6433,0.7523,3.5228,1092,0.136194667,0.134831225,0.0249,3.3985,0.6975,1143,0.10244237,0.100543558,2.4253,2.1546,3.6052,1146,0.244652741,0.244991237,8.4727,13.1457,37.8333
101.0,0.153319556,0.151981143,3.7945,7.1761,11.538,119,0.150193185,0.149735839,2.0389,2.7338,8.9699,122,0.218570963,0.219014528,22.9555,22.2115,4.0859,173,0.057586963,0.055714393,1.0706,0.0054,0.0,176,0.08120503700000001,0.07571123,1.7221,0.6081,0.8562,1091,0.16367377800000002,0.161830163,0.0556,6.3471,5.003,1094,0.08693777800000001,0.082260214,1.8495,1.2668,0.5962,1145,0.166311407,0.165537283,0.76,0.6821,2.7028,1148,0.302077333,0.30465224,8.2105,170.9893,36.0593
103.0,0.15446837,0.153381936,5.6185,21.7899,12.3695,121,0.224529778,0.224698928,16.1778,27.0852,12.9144,124,0.14726963,0.140211083,1.0762,20.7148,1.0762,175,0.075342222,0.071842435,1.823,0.0053,0.8581,178,0.114639111,0.112178719,2.6553,0.8059,0.907,1093,0.103282074,0.100975514,0.0226,1.2691,0.2806,1096,0.149807407,0.149827649,13.2143,8.2199,6.2268,1147,0.269960296,0.271412443,8.8978,73.1559,32.1687,1150,0.150916444,0.151163377,0.7176,10.6478,10.9305
105.0,0.127436667,0.126347748,3.878,10.7998,4.8862,123,0.17835792600000006,0.176919517,9.5278,18.3886,3.9993,126,0.165873185,0.166514726,6.2063,24.4499,7.5732,177,0.100861037,0.094543981,0.8432,0.7709,0.5415,180,0.045226667000000005,0.084406451,0.0027,0.0,0.0,1095,0.117806815,0.113300596,10.5335,1.8762,0.1398,1098,0.08165451900000001,0.08046857,2.3488,1.6319,0.0604,1149,0.221272593,0.223107923,0.7698,48.9803,16.5483,1152,0.108440593,0.107633551,0.25,0.4164,2.5093
107.0,0.112168259,0.106760206,3.1322,3.0947,3.3232,128,0.058054222,0.081205248,0.0,1.5176,1.7829,131,0.115545481,0.113826825,2.4208,0.0089,0.009000000000000001,182,0.17050607399999998,0.16990051,19.0864,28.7289,0.0145,185,0.10737363,0.106038291,10.1167,0.0763,0.16899999999999998,1100,0.087215407,0.07412537599999999,0.028,1.0696,0.0,1103,0.090893333,0.090596475,0.8285,2.5414,3.883,1154,0.111107259,0.110946782,0.3325,4.5291,1.9055,1157,0.156650667,0.156624968,2.2453,0.4336,3.9623
109.0,0.110790074,0.110074446,2.8272,1.9218,2.5379,130,0.117073778,0.115937342,2.4743,1.262,0.3505,133,0.08893037,0.06752287400000001,0.0742,1.1237,0.0,184,0.15588,0.155983416,11.2589,0.5772,0.0514,187,0.090335111,0.089188083,0.2379,0.2158,0.2138,1102,0.061736593,0.06244761,0.0,1.2304,3.1043,1105,0.12928563,0.130125388,7.1345,1.6082,4.4448,1156,0.17481659300000002,0.174413769,4.1342,5.9522,5.394,1159,0.06826251900000001,0.06607171099999999,0.0207,0.0949,0.7572
111.0,0.106380889,0.104919917,0.3003,1.2142,2.1538,132,0.08572296300000001,0.08271837,0.0029,0.0093,0.0089,135,0.155010963,0.15306676,2.2864,1.8347,3.8402,186,0.06739051900000001,0.066187482,0.0722,0.0935,0.175,189,0.083120296,0.080496225,1.1926,1.4163,0.7235,1104,0.103749037,0.103977374,1.1326,1.4303,0.9617,1107,0.111031111,0.109701297,5.6560000000000015,0.261,3.1278,1158,0.116218074,0.115154715,0.1576,0.0946,3.9336,1161,0.128804148,0.127668904,2.6841,3.5768,4.4363
113.0,0.11011237,0.108668249,1.0364,2.8792,1.923,134,0.118172741,0.052729551,0.109,0.9054,0.0,137,0.136129778,0.13469910699999998,2.3826,1.2227,2.6398,188,0.095079407,0.092790293,0.1882,3.1304,0.0786,191,0.041655111,0.029106208,0.7541,0.0272,0.0,1106,0.112957037,0.112644488,6.9322,6.0834,3.9069,1109,0.143119704,0.14167780800000002,0.7873,3.3853,0.9786,1160,0.103641185,0.102415368,0.075,0.9385,4.5881,1163,0.130144,0.12896880300000002,2.4315,1.1128,0.0147
115.0,0.144263963,0.143067891,8.4502,5.7245,8.8332,136,0.14154192599999998,0.140970197,3.2402,2.399,4.0712,139,0.230605333,0.231775036,18.0137,12.8468,5.5849,190,0.062484444000000014,0.034439153,0.753,0.4475,0.0,193,0.122524444,0.120867106,9.4497,0.0021,0.9587,1108,0.109292741,0.107891291,0.7664,0.2492,0.7101,1111,0.087608296,0.08526453699999999,0.0135,0.2378,0.2776,1162,0.135339556,0.134719261,2.6576,2.4265,0.0303,1165,0.264714963,0.26679505800000003,45.4443,68.8282,28.5575
117.0,0.155138889,0.151968673,9.0754,9.7311,11.0154,138,0.179409481,0.171867713,1.508,1.9261,2.1494,141,0.175307852,0.173357951,7.0775,19.6346,6.5728,192,0.052556444,0.049207284,0.3945,0.001,0.248,195,0.15446014800000002,0.149526467,2.4844,2.6524,0.5411,1110,0.135093333,0.133788842,0.4144,3.7382,0.6811,1113,0.138871111,0.13836032199999998,13.4344,0.2705,15.3755,1164,0.21725037,0.217726945,40.0085,4.6908,23.7477,1167,0.18816237,0.189101173,1.102,8.5226,1.5778
